Category,Trade Name,Address,Licence Number,Licence Status,Issue Date,Expiry Date,Business Improvement Area,Neighbourhood ID,Neighbourhood,Ward,Latitude,Longitude,Location,Count,Geometry Point
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed), Retail Sales (Minor), Tobacco and Vaping Product Sales, Vehicle Wash / Fueling Station",7-ELEVEN FOOD STORES #29079,1704 - MILL WOODS ROAD NW,007257028-001,Issued,,"Jan 22, 2024",,6680,Satoo,Karhiio,53.446646,-113.452154,"(53.446646031553264, -113.45215364323404)",1,POINT (-113.45215364323404 53.446646031553264)
Cannabis Retail Sales,DISCOUNTED CANNABIS,17042 - 90 AVENUE NW,295737409-016,Issued,,"Mar 13, 2024",,4520,Summerlea,sipiwiyiniwak,53.525900,-113.617448,"(53.525900046523944, -113.61744757977495)",1,POINT (-113.61744757977495 53.525900046523944)
Restaurant or Food Service,MCDONALDS RESTAURANT,17056 - 90 AVENUE NW,170887604-002,Issued,,"Apr 26, 2024",,4520,Summerlea,sipiwiyiniwak,53.525900,-113.617448,"(53.525900046523944, -113.61744757977495)",1,POINT (-113.61744757977495 53.525900046523944)
Restaurant or Food Service,BOOSTER JUICE,1707 - 102 STREET NW,252763811-002,Issued,,"Jun 19, 2023",,6195,South Edmonton Common,Karhiio,53.445134,-113.489796,"(53.44513403610949, -113.48979613530787)",1,POINT (-113.48979613530787 53.44513403610949)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",REMEDY CAFE,1707 - TOWNE CENTRE BOULEVARD NW,189051896-002,Issued,,"Jun 27, 2024",,5640,Terwillegar Towne,pihêsiwin,53.445368,-113.577105,"(53.44536804646222, -113.57710511570845)",1,POINT (-113.57710511570845 53.44536804646222)
Restaurant or Food Service,PIZZA PALACE & DONAIR,1709 - TOWNE CENTRE BOULEVARD NW,230008461-002,Issued,,"Nov 18, 2023",,5640,Terwillegar Towne,pihêsiwin,53.445368,-113.577105,"(53.44536804646222, -113.57710511570845)",1,POINT (-113.57710511570845 53.44536804646222)
Restaurant or Food Service,NEW YORK FRIES,"171, 1 - BONNIE DOON SHOPPING CENTRE NW",071274804-001,Issued,,"Oct 06, 2023",French Quarter and Area,6040,Bonnie Doon,Métis,53.520986,-113.457139,"(53.52098601597876, -113.45713941318525)",1,POINT (-113.45713941318525 53.52098601597876)
Restaurant or Food Service,KOKORIKO,1713 - TOWNE CENTRE BOULEVARD NW,385612720-002,Issued,,"Mar 10, 2024",,5640,Terwillegar Towne,pihêsiwin,53.445368,-113.577105,"(53.44536804646222, -113.57710511570845)",1,POINT (-113.57710511570845 53.44536804646222)
Restaurant or Food Service,JOLLIBEE,17136 - 90 AVENUE NW,377990283-002,Issued,,"Jun 24, 2023",,4520,Summerlea,sipiwiyiniwak,53.525261,-113.619554,"(53.52526104681213, -113.61955357951872)",1,POINT (-113.61955357951872 53.52526104681213)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",DEVONSHIRE VILLAGE #64401,1718 - RABBIT HILL ROAD NW,402963314-002,Issued,,"Aug 12, 2023",,5640,Terwillegar Towne,pihêsiwin,53.448401,-113.566359,"(53.4484010450067, -113.56635911709806)",1,POINT (-113.56635911709806 53.4484010450067)
Restaurant or Food Service,SUBWAY,"172, 1 - BONNIE DOON SHOPPING CENTRE NW",047248377-001,Issued,,"Jun 12, 2023",French Quarter and Area,6040,Bonnie Doon,Métis,53.520986,-113.457139,"(53.52098601597876, -113.45713941318525)",1,POINT (-113.45713941318525 53.52098601597876)
Restaurant or Food Service,HERC'S NUTRITION,"172, 3803 - CALGARY TRAIL NW",289452471-002,Issued,,"Aug 08, 2024",,5120,Calgary Trail South,Karhiio,53.472746,-113.493977,"(53.472746034971266, -113.49397662516898)",1,POINT (-113.49397662516898 53.472746034971266)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",MONTANA'S BBQ & BAR,1720 - 99 STREET NW,349388183-002,Issued,,"Jan 01, 2024",,6195,South Edmonton Common,Karhiio,53.446178,-113.485697,"(53.4461780355611, -113.48569663587789)",1,POINT (-113.48569663587789 53.4461780355611)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",BUFFET ROYALE CARVERY,17202 - 95 AVENUE NW,453840826-002,Issued,,"Dec 07, 2023",,4540,Terra Losa,Nakota Isga,53.531993,-113.620134,"(53.53199304648688, -113.62013407713118)",1,POINT (-113.62013407713118 53.53199304648688)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Prohibited), Adult Service",INTIMATE TIMES COUPLES' CLUB,17207 - 107 AVENUE NW,096984938-001,Issued,,"Jan 07, 2025",,4300,McNamara Industrial,Nakota Isga,53.553221,-113.618038,"(53.55322074929612, -113.61803775889813)",1,POINT (-113.61803775889813 53.55322074929612)
Restaurant or Food Service,JUGO JUICE,"1721, 8882 - 170 STREET NW",087268411-001,Issued,,"Aug 10, 2023",,4520,Summerlea,sipiwiyiniwak,53.522273,-113.618303,"(53.5222730468383, -113.61830258079999)",1,POINT (-113.61830258079999 53.5222730468383)
Restaurant or Food Service,BURGER KING,17215 - STONY PLAIN ROAD NW,350598572-002,Issued,,"Feb 17, 2025",,4400,Place LaRue,Nakota Isga,53.541281,-113.619679,"(53.54128123249391, -113.61967893647974)",1,POINT (-113.61967893647974 53.54128123249391)
Restaurant or Food Service,DONAIR STATION,17234 - 95 AVENUE NW,262098800-002,Issued,,"Oct 17, 2023",,4540,Terra Losa,Nakota Isga,53.531993,-113.620134,"(53.53199304648688, -113.62013407713118)",1,POINT (-113.62013407713118 53.53199304648688)
"Amusement Establishment, Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed), Spectator Entertainment",THE REC ROOM,1725 - 99 STREET NW,186531422-002,Issued,,"Sep 22, 2023",,6195,South Edmonton Common,Karhiio,53.445530,-113.482781,"(53.445530035253434, -113.48278063674643)",1,POINT (-113.48278063674643 53.445530035253434)
Alcohol Sales (Consumption Off-Premises),LIQUOR SPOT,17250 - 95 AVENUE NW,448184761-002,Issued,,"Oct 19, 2023",,4540,Terra Losa,Nakota Isga,53.531993,-113.620134,"(53.53199304648688, -113.62013407713118)",1,POINT (-113.62013407713118 53.53199304648688)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",KAIMING'S KITCHEN,17288 - STONY PLAIN ROAD NW,291425749-002,Issued,,"Oct 02, 2023",,4510,Stone Industrial,Nakota Isga,53.541794,-113.619207,"(53.54179404580258, -113.61920707404927)",1,POINT (-113.61920707404927 53.54179404580258)
Restaurant or Food Service,EDO JAPAN,"173, 1 - BONNIE DOON SHOPPING CENTRE NW",007256599-001,Issued,,"Dec 31, 2023",French Quarter and Area,6040,Bonnie Doon,Métis,53.520986,-113.457139,"(53.52098601597876, -113.45713941318525)",1,POINT (-113.45713941318525 53.52098601597876)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",AMORE PASTA 101,"173, 10235 - 101 STREET NW",301928751-002,Issued,,"Jan 11, 2024",Downtown,1090,Downtown,O-day'min,53.544656,-113.493266,"(53.54465603064396, -113.49326560127663)",1,POINT (-113.49326560127663 53.54465603064396)
Alcohol Sales (Consumption Off-Premises),THE REAL CANADIAN LIQUOR STORE LTD,17303 - STONY PLAIN ROAD NW,007345487-001,Issued,,"Jan 17, 2024",,4400,Place LaRue,Nakota Isga,53.541332,-113.621068,"(53.54133175035278, -113.6210685392916)",1,POINT (-113.6210685392916 53.54133175035278)
"Restaurant or Food Service, Retail Sales (Major), Food Processing / Catering Service, Tobacco and Vaping Product Sales",THE REAL CANADIAN SUPERSTORE,17303 - STONY PLAIN ROAD NW,007262123-001,Issued,,"Apr 02, 2024",,4400,Place LaRue,Nakota Isga,53.541332,-113.621068,"(53.54133175035278, -113.6210685392916)",1,POINT (-113.6210685392916 53.54133175035278)
Restaurant or Food Service,WESTEND BINGO CONCESSION,17304 - 105 AVENUE NW,372740833-002,Issued,,"Jan 21, 2024",,4300,McNamara Industrial,Nakota Isga,53.549156,-113.620008,"(53.549156045467164, -113.62000807139823)",1,POINT (-113.62000807139823 53.549156045467164)
Alcohol Sales (Consumption Off-Premises),ACE LIQUOR DISCOUNTER AT KESWICK,17305 - HILLER ROAD SW,395697756-002,Issued,,"Sep 20, 2023",,5574,Keswick,pihêsiwin,53.420600,-113.619099,"(53.42060005291189, -113.61909911458525)",1,POINT (-113.61909911458525 53.42060005291189)
Restaurant or Food Service,GARDEN BAKERY,1731 - 102 STREET NW,440257747-002,Issued,,"Feb 28, 2024",,6195,South Edmonton Common,Karhiio,53.445134,-113.489796,"(53.44513403610949, -113.48979613530787)",1,POINT (-113.48979613530787 53.44513403610949)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",BARBURRITO RESTAURANT,17325 - HILLER ROAD SW,404637404-002,Issued,,"Nov 16, 2023",,5574,Keswick,pihêsiwin,53.420600,-113.619099,"(53.42060005291189, -113.61909911458525)",1,POINT (-113.61909911458525 53.42060005291189)
Cannabis Retail Sales,CANNABIS DISCOUNTER,17329 - HILLER ROAD SW,400576814-011,Issued,,"Mar 23, 2024",,5574,Keswick,pihêsiwin,53.420600,-113.619099,"(53.42060005291189, -113.61909911458525)",1,POINT (-113.61909911458525 53.42060005291189)
Restaurant or Food Service,KFC KESWICK,17337 - HILLER ROAD SW,408751551-002,Issued,,"Dec 14, 2023",,5574,Keswick,pihêsiwin,53.420600,-113.619099,"(53.42060005291189, -113.61909911458525)",1,POINT (-113.61909911458525 53.42060005291189)
Restaurant or Food Service,EDMONTON SOCCER WEST # 60553,17415 - 106A AVENUE NW,076633222-001,Issued,,"Jun 15, 2023",,4300,McNamara Industrial,Nakota Isga,53.551199,-113.621628,"(53.55119904554066, -113.62162807034993)",1,POINT (-113.62162807034993 53.55119904554066)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed), Retail Sales (Minor), Participant Recreation Service",EDMONTON SOCCER ASSOCIATION,17415 - 106A AVENUE NW,007253797-001,Issued,,"Dec 31, 2024",,4300,McNamara Industrial,Nakota Isga,53.551199,-113.621628,"(53.55119904554066, -113.62162807034993)",1,POINT (-113.62162807034993 53.55119904554066)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",NEW ASIAN VILLAGE,17507 - 100 AVENUE NW,040846695-001,Issued,,"Aug 09, 2023",,4400,Place LaRue,Nakota Isga,53.538113,-113.622843,"(53.53811304645112, -113.6228430744724)",1,POINT (-113.6228430744724 53.53811304645112)
Restaurant or Food Service,STARBUCKS COFFEE#4820,1751 - 102 STREET NW,071425465-001,Issued,,"Sep 24, 2024",,6195,South Edmonton Common,Karhiio,53.445179,-113.490759,"(53.445179036221106, -113.49075913507734)",1,POINT (-113.49075913507734 53.445179036221106)
"Amusement Establishment, Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",METROPOLITAN BILLIARD CAFE,17512 - STONY PLAIN ROAD NW,423212959-002,Issued,,"May 05, 2024",,4510,Stone Industrial,Nakota Isga,53.542199,-113.623572,"(53.542199046298805, -113.62357207293796)",1,POINT (-113.62357207293796 53.542199046298805)
"Restaurant or Food Service, Retail Sales (Major)",SEAFOOD CITY SUPERMARKET,17540 - 100 AVENUE NW,355351466-002,Issued,,"Jul 20, 2023",,4400,Place LaRue,Nakota Isga,53.539841,-113.624063,"(53.53984104649523, -113.62406257361992)",1,POINT (-113.62406257361992 53.53984104649523)
Restaurant or Food Service,FATBURGER,1755 - 102 STREET NW,456258156-002,Issued,,"Dec 07, 2023",,6195,South Edmonton Common,Karhiio,53.445179,-113.490759,"(53.445179036221106, -113.49075913507734)",1,POINT (-113.49075913507734 53.445179036221106)
Alcohol Sales (Consumption Off-Premises),LIQUOR ON 17,1758 - 34 AVENUE NW,357531408-002,Issued,,"May 27, 2023",,6790,Wild Rose,Sspomitapi,53.468012,-113.370650,"(53.46801202061634, -113.37064965440162)",1,POINT (-113.37064965440162 53.46801202061634)
"Restaurant or Food Service, Retail Sales (Minor), Tobacco and Vaping Product Sales, Vehicle Wash / Fueling Station",7-ELEVEN FOOD STORES #32844,17612 - 97 STREET NW,007396355-001,Issued,,"Jan 22, 2024",,3190,Elsinore,tastawiyiniwak,53.638913,-113.492820,"(53.6389130250594, -113.49282006966634)",1,POINT (-113.49282006966634 53.6389130250594)
Restaurant or Food Service,TASTE OF PERSIA,17620 - 100 AVENUE NW,460159902-002,Issued,,"Feb 05, 2024",,4400,Place LaRue,Nakota Isga,53.538527,-113.624936,"(53.5385270466761, -113.62493557386594)",1,POINT (-113.62493557386594 53.5385270466761)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",DENNYS RESTAURANT,17635 - STONY PLAIN ROAD NW,007248102-001,Issued,,"Jan 21, 2024",,4400,Place LaRue,Nakota Isga,53.540210,-113.626457,"(53.5402100467588, -113.62645657296117)",1,POINT (-113.62645657296117 53.5402100467588)
Restaurant or Food Service,NEW STREETS OF INDIA,1764 - 34 AVENUE NW,298173127-002,Issued,,"Nov 26, 2023",,6790,Wild Rose,Sspomitapi,53.468012,-113.370650,"(53.46801202061634, -113.37064965440162)",1,POINT (-113.37064965440162 53.46801202061634)
Cannabis Retail Sales,CANNABIS BAY,1770 - 34 AVENUE NW,418839287-002,Issued,,"Nov 14, 2023",,6790,Wild Rose,Sspomitapi,53.468012,-113.370650,"(53.46801202061634, -113.37064965440162)",1,POINT (-113.37064965440162 53.46801202061634)
Restaurant or Food Service,NEW PIZZA FACTORY,1772 - 34 AVENUE NW,287119520-002,Issued,,"Jul 16, 2023",,6790,Wild Rose,Sspomitapi,53.468012,-113.370650,"(53.46801202061634, -113.37064965440162)",1,POINT (-113.37064965440162 53.46801202061634)
Restaurant or Food Service,MCDONALD'S RESTAURANTS OF CANADA LTD,17720 - 100 AVENUE NW,267168985-002,Issued,,"Apr 04, 2024",,4400,Place LaRue,Nakota Isga,53.538320,-113.626470,"(53.53832004687101, -113.62647007359259)",1,POINT (-113.62647007359259 53.53832004687101)
Restaurant or Food Service,PAT & MIKE'S FAMILY RESTAURANT,17732 - 102 AVENUE NW,007266371-001,Issued,,"Dec 31, 2023",,4510,Stone Industrial,Nakota Isga,53.543711,-113.626407,"(53.54371104654805, -113.62640707179689)",1,POINT (-113.62640707179689 53.54371104654805)
Restaurant or Food Service,PANAGO PIZZA,17735 - 98A AVENUE NW,104268537-001,Issued,,"Jan 16, 2024",,4540,Terra Losa,Nakota Isga,53.533856,-113.627690,"(53.533856047277546, -113.6276895748182)",1,POINT (-113.6276895748182 53.533856047277546)
Restaurant or Food Service,NEW DRAGON EXPRESS,17743 - 98A AVENUE NW,354943064-002,Renewal Notice,,"Apr 13, 2023",,4540,Terra Losa,Nakota Isga,53.533856,-113.627690,"(53.533856047277546, -113.6276895748182)",1,POINT (-113.6276895748182 53.533856047277546)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",KATHMANDU RASOI,17759 - 98A AVENUE NW,344265480-002,Issued,,"Dec 04, 2024",,4540,Terra Losa,Nakota Isga,53.533856,-113.627690,"(53.533856047277546, -113.6276895748182)",1,POINT (-113.6276895748182 53.533856047277546)
Restaurant or Food Service,ROMERO CAFETERIA,17760 - 69 AVENUE NW,139771331-001,Issued,,"Aug 26, 2023",,4070,Callingwood North,sipiwiyiniwak,53.503967,-113.629629,"(53.503967049259856, -113.6296290844036)",1,POINT (-113.6296290844036 53.503967049259856)
Restaurant or Food Service,TIM HORTON'S,17761 - 100 AVENUE NW,070347642-001,Issued,,"Sep 26, 2024",,4540,Terra Losa,Nakota Isga,53.537510,-113.626389,"(53.53751004690877, -113.62638907388254)",1,POINT (-113.62638907388254 53.53751004690877)
"Restaurant or Food Service, Retail Sales (Minor), Tobacco and Vaping Product Sales, Vehicle Wash / Fueling Station",7-ELEVEN #37818H,17761 - 100 AVENUE NW,225996844-002,Issued,,"Dec 17, 2023",,4540,Terra Losa,Nakota Isga,53.537510,-113.626389,"(53.53751004690877, -113.62638907388254)",1,POINT (-113.62638907388254 53.53751004690877)
"Restaurant or Food Service, Vehicle Repair, Maintenance, and Modification, Vehicle Sales and Rental",GREAT WEST CHRYSLER INC,17817 - STONY PLAIN ROAD NW,007400201-001,Issued,,"Dec 31, 2023",,4400,Place LaRue,Nakota Isga,53.540228,-113.630732,"(53.54022804726692, -113.63073157200009)",1,POINT (-113.63073157200009 53.54022804726692)
Restaurant or Food Service,VIETNAM KITCHEN,17820 - 107 AVENUE NW,346744621-002,Issued,,"Jan 29, 2024",,4640,Wilson Industrial,Nakota Isga,53.553647,-113.628207,"(53.55364704618134, -113.62820706805728)",1,POINT (-113.62820706805728 53.55364704618134)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Prohibited), Participant Recreation Service",WORLD WATERPARK,"1784, 8882 - 170 STREET NW",007252811-001,Issued,,"Jan 05, 2025",,4520,Summerlea,sipiwiyiniwak,53.522273,-113.618303,"(53.5222730468383, -113.61830258079999)",1,POINT (-113.61830258079999 53.5222730468383)
Alcohol Sales (Consumption Off-Premises),WHITEMUD CROSSING LIQUOR STORE,"179, 4211 - 106 STREET NW",007372945-001,Issued,,"Jan 21, 2024",,5360,Rideau Park,papastew,53.479658,-113.502522,"(53.47965803557765, -113.50252212094901)",1,POINT (-113.50252212094901 53.47965803557765)
Restaurant or Food Service,DAIRY QUEEN,17904 - STONY PLAIN ROAD NW,007262949-001,Issued,,"Jan 07, 2024",,4340,Morin Industrial,Nakota Isga,53.542055,-113.631519,"(53.542055047253854, -113.6315190712108)",1,POINT (-113.6315190712108 53.542055047253854)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",ZAMBELLI'S PRIME RIB STEAKHOUSE,17925 - STONY PLAIN ROAD NW,007449778-001,Issued,,"Dec 31, 2023",,4400,Place LaRue,Nakota Isga,53.540210,-113.632275,"(53.54021004745184, -113.63227507166133)",1,POINT (-113.63227507166133 53.54021004745184)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Prohibited)",THE THIRSTY RHINO BAR & GRILL,"18, 9104 - 179 AVENUE NW",234627145-002,Issued,,"Dec 03, 2024",,2450,Lago Lindo,tastawiyiniwak,53.641532,-113.478636,"(53.64153202321539, -113.47863607196739)",1,POINT (-113.47863607196739 53.64153202321539)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Prohibited)",BOSTON PIZZA,180 - MAYFIELD COMMON NW,007359168-001,Issued,,"Mar 25, 2024",Stony Plain Road and Area,4060,Britannia Youngstown,Nakota Isga,53.543297,-113.611836,"(53.5432970448367, -113.61183607519203)",1,POINT (-113.61183607519203 53.5432970448367)
Alcohol Sales (Consumption Off-Premises),ACE LIQUOR DISCOUNTER AT CAPILANO,"180, 5055 - 101 AVENUE NW",158617944-001,Issued,,"Aug 08, 2023",,6550,Ottewell,Métis,53.539463,-113.421477,"(53.53946302241457, -113.42147711912314)",1,POINT (-113.42147711912314 53.53946302241457)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Prohibited)",COAST WEST PIZZA AND STEAK HOUSE,18035 - STONY PLAIN ROAD NW,412756834-002,Issued,,"Dec 05, 2023",,4400,Place LaRue,Nakota Isga,53.540336,-113.633922,"(53.54033604764067, -113.63392207125112)",1,POINT (-113.63392207125112 53.54033604764067)
"Alcohol Sales (Consumption Off-Premises), Wholesale, Warehouse, and Storage, Manufacturer",LIQUOR DROP,18119 - 107 AVENUE NW,353469668-002,Issued,,"Sep 22, 2023",,4640,Wilson Industrial,Nakota Isga,53.552693,-113.633963,"(53.552693046922904, -113.63396256709186)",1,POINT (-113.63396256709186 53.552693046922904)
Restaurant or Food Service,BOBO TEA,"1819, 8882 - 170 STREET NW",276407863-002,Issued,,"Jul 26, 2023",,4520,Summerlea,sipiwiyiniwak,53.522273,-113.618303,"(53.5222730468383, -113.61830258079999)",1,POINT (-113.61830258079999 53.5222730468383)
Restaurant or Food Service,COOKIES BY GEORGE,"182, 1 - KINGSWAY GARDEN MALL NW",353625692-002,Issued,,"Sep 24, 2023",Kingsway,1230,Spruce Avenue,O-day'min,53.562305,-113.505555,"(53.56230503106817, -113.50555509259978)",1,POINT (-113.50555509259978 53.56230503106817)
Restaurant or Food Service,HUNGRY BIRDS,"182, 4211 - 106 STREET NW",409453217-002,Issued,,"Oct 11, 2023",,5360,Rideau Park,papastew,53.479658,-113.502522,"(53.47965803557765, -113.50252212094901)",1,POINT (-113.50252212094901 53.47965803557765)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",LOCAL PUBLIC EATERY,1820 - 99 STREET NW,034571623-011,Issued,,"Nov 18, 2023",,6195,South Edmonton Common,Karhiio,53.446835,-113.485881,"(53.446835035544055, -113.48588113561779)",1,POINT (-113.48588113561779 53.446835035544055)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",HOMEFIRE GRILL,18210 - 100 AVENUE NW,044029288-001,Issued,,"Jun 12, 2023",,4400,Place LaRue,Nakota Isga,53.538311,-113.636343,"(53.53831104804752, -113.63634307139014)",1,POINT (-113.63634307139014 53.53831104804752)
Restaurant or Food Service,LENG'S CHINESE FOOD,18212 - 89 AVENUE NW,169097908-002,Renewal Notice,,"Apr 05, 2023",,4040,Belmead,Nakota Isga,53.524001,-113.639039,"(53.52400104920604, -113.63903857558935)",1,POINT (-113.63903857558935 53.52400104920604)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",HAPPY PIZZA 24/7 LTD.,18216 - 84 AVENUE NW,427380042-002,Issued,,"Jun 02, 2024",,4020,Aldergrove,Nakota Isga,53.517224,-113.637887,"(53.51722404946577, -113.63788657811868)",1,POINT (-113.63788657811868 53.51722404946577)
"Amusement Establishment, Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Prohibited)",OPUS RESTAURANT AND BAR,18228 - 89 AVENUE NW,449705631-002,Issued,,"Dec 14, 2023",,4040,Belmead,Nakota Isga,53.524001,-113.639039,"(53.52400104920604, -113.63903857558935)",1,POINT (-113.63903857558935 53.52400104920604)
Restaurant or Food Service,SAMS PIZZA AND DONAIR,18236 - 89 AVENUE NW,108595913-001,Issued,,"Mar 24, 2024",,4040,Belmead,Nakota Isga,53.524001,-113.639039,"(53.52400104920604, -113.63903857558935)",1,POINT (-113.63903857558935 53.52400104920604)
Restaurant or Food Service,PIZZA 106,"183, 4211 - 106 STREET NW",439502348-002,Issued,,"Oct 18, 2023",,5360,Rideau Park,papastew,53.479658,-113.502522,"(53.47965803557765, -113.50252212094901)",1,POINT (-113.50252212094901 53.47965803557765)
Restaurant or Food Service,TIM HORTONS,18314 - LESSARD ROAD NW,050723873-001,Issued,,"Oct 30, 2023",,4110,Dechene,sipiwiyiniwak,53.485976,-113.642292,"(53.48597605182224, -113.64229208759798)",1,POINT (-113.64229208759798 53.48597605182224)
Cannabis Retail Sales,CANNABIS HOUSE,18320 - LESSARD ROAD NW,390909252-002,Issued,,"Apr 08, 2024",,4110,Dechene,sipiwiyiniwak,53.485976,-113.642292,"(53.48597605182224, -113.64229208759798)",1,POINT (-113.64229208759798 53.48597605182224)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",SMITTY'S PANCAKE HOUSE,18320 - STONY PLAIN ROAD NW,007248201-001,Issued,,"Dec 31, 2023",,4340,Morin Industrial,Nakota Isga,53.542442,-113.638899,"(53.542442048110374, -113.63889906943236)",1,POINT (-113.63889906943236 53.542442048110374)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",VIVO RISTORANTE,18352 - LESSARD ROAD NW,341212438-002,Issued,,"Oct 29, 2024",,4110,Dechene,sipiwiyiniwak,53.485976,-113.642292,"(53.48597605182224, -113.64229208759798)",1,POINT (-113.64229208759798 53.48597605182224)
Restaurant or Food Service,JUS FRUIT,"1836, 8882 - 170 STREET NW",259948656-002,Issued,,"Sep 25, 2023",,4520,Summerlea,sipiwiyiniwak,53.522273,-113.618303,"(53.5222730468383, -113.61830258079999)",1,POINT (-113.61830258079999 53.5222730468383)
Restaurant or Food Service,QUIZNOS SUB,184 - MANNING CROSSING NW,105536570-001,Issued,,"Mar 06, 2025",,2720,York,Dene,53.600276,-113.423304,"(53.60027601904631, -113.42330409830078)",1,POINT (-113.42330409830078 53.60027601904631)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",MUCHO BURRITO,184 - MAYFIELD COMMON NW,235096435-002,Issued,,"Mar 04, 2024",Stony Plain Road and Area,4060,Britannia Youngstown,Nakota Isga,53.543297,-113.611836,"(53.5432970448367, -113.61183607519203)",1,POINT (-113.61183607519203 53.5432970448367)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",KHAZANA INDIAN EXPRESS,184 - MISTATIM ROAD NW,438248997-002,Issued,,"Sep 11, 2024",,4320,Mistatim Industrial,Anirniq,53.601689,-113.579999,"(53.601689037628184, -113.57999856267467)",1,POINT (-113.57999856267467 53.601689037628184)
Restaurant or Food Service,TIM HORTONS,18403 - 111 AVENUE NW,111310787-002,Issued,,"Aug 20, 2023",Northwest Industrial,4630,White Industrial,Nakota Isga,53.558984,-113.640483,"(53.558984047332295, -113.64048306352073)",1,POINT (-113.64048306352073 53.558984047332295)
Restaurant or Food Service,WENDY'S RESTAURANT,18411 - STONY PLAIN ROAD NW,116759549-001,Issued,,"Dec 13, 2023",,4400,Place LaRue,Nakota Isga,53.539589,-113.643750,"(53.53958904885514, -113.64375006930685)",1,POINT (-113.64375006930685 53.53958904885514)
Restaurant or Food Service,MCDONALD'S,"1845, 8882 - 170 STREET NW",185615782-002,Issued,,"May 02, 2023",,4520,Summerlea,sipiwiyiniwak,53.522273,-113.618303,"(53.5222730468383, -113.61830258079999)",1,POINT (-113.61830258079999 53.5222730468383)
Restaurant or Food Service,CATCHER TEPPANYAKI AND TEA,"1846, 8882 - 170 STREET NW",392310681-002,Issued,,"Oct 20, 2024",,4520,Summerlea,sipiwiyiniwak,53.522273,-113.618303,"(53.5222730468383, -113.61830258079999)",1,POINT (-113.61830258079999 53.5222730468383)
Alcohol Sales (Consumption Off-Premises),OLYMPIA LIQUOR EDMONTON WEST,18473 - STONY PLAIN ROAD NW,300965399-002,Issued,,"Apr 03, 2024",,4400,Place LaRue,Nakota Isga,53.539589,-113.643750,"(53.53958904885514, -113.64375006930685)",1,POINT (-113.64375006930685 53.53958904885514)
Restaurant or Food Service,CHINA COURT,"1848, 8882 - 170 STREET NW",070465678-001,Issued,,"Sep 10, 2024",,4520,Summerlea,sipiwiyiniwak,53.522273,-113.618303,"(53.5222730468383, -113.61830258079999)",1,POINT (-113.61830258079999 53.5222730468383)
Restaurant or Food Service,XINGFUTANG,18483 - STONY PLAIN ROAD NW,417331335-002,Issued,,"Dec 29, 2023",,4400,Place LaRue,Nakota Isga,53.539589,-113.643750,"(53.53958904885514, -113.64375006930685)",1,POINT (-113.64375006930685 53.53958904885514)
Restaurant or Food Service,PHO TASTY LTD,18485 - STONY PLAIN ROAD NW,290208627-002,Issued,,"Aug 30, 2024",,4400,Place LaRue,Nakota Isga,53.539589,-113.643750,"(53.53958904885514, -113.64375006930685)",1,POINT (-113.64375006930685 53.53958904885514)
Restaurant or Food Service,KORYO KOREAN BBQ,"1849, 8882 - 170 STREET NW",070792923-001,Issued,,"Sep 26, 2023",,4520,Summerlea,sipiwiyiniwak,53.522273,-113.618303,"(53.5222730468383, -113.61830258079999)",1,POINT (-113.61830258079999 53.5222730468383)
